Date,Price,Open,High,Low,Change %,
13-Sep-12,0.9483,0.9555,0.9589,0.9461,-0.77%,9/13/2012
12-Sep-12,0.9557,0.9588,0.959,0.9513,-0.34%,9/12/2012
11-Sep-12,0.959,0.9675,0.9689,0.9566,-0.92%,9/11/2012
10-Sep-12,0.9679,0.9645,0.9679,0.9624,0.54%,9/10/2012
7-Sep-12,0.9627,0.9724,0.973,0.961,-1.00%,9/7/2012
6-Sep-12,0.9724,0.9811,0.9828,0.9704,-0.93%,9/6/2012
5-Sep-12,0.9815,0.9777,0.9836,0.9769,0.33%,9/5/2012
4-Sep-12,0.9783,0.9758,0.9789,0.9716,0.19%,9/4/2012
3-Sep-12,0.9764,0.9714,0.9772,0.9704,0.79%,9/3/2012
31-Aug-12,0.9687,0.9711,0.9729,0.9653,-0.32%,8/31/2012
30-Aug-12,0.9718,0.966,0.973,0.9656,0.56%,8/30/2012
29-Aug-12,0.9664,0.9642,0.9669,0.9613,0.20%,8/29/2012
28-Aug-12,0.9645,0.9648,0.9666,0.962,-0.06%,8/28/2012
27-Aug-12,0.9651,0.959,0.9652,0.9587,0.45%,8/27/2012
24-Aug-12,0.9608,0.9575,0.9638,0.9568,0.31%,8/24/2012
23-Aug-12,0.9578,0.9512,0.9581,0.9479,0.63%,8/23/2012
22-Aug-12,0.9518,0.9537,0.9602,0.9503,-0.21%,8/22/2012
21-Aug-12,0.9538,0.9574,0.9576,0.95,-0.37%,8/21/2012
20-Aug-12,0.9573,0.9583,0.9597,0.9547,-0.22%,8/20/2012
17-Aug-12,0.9594,0.9511,0.9604,0.9493,0.81%,8/17/2012
16-Aug-12,0.9517,0.9519,0.9546,0.9496,-0.02%,8/16/2012
15-Aug-12,0.9519,0.9535,0.9565,0.9507,-0.15%,8/15/2012
14-Aug-12,0.9533,0.9508,0.9541,0.9482,0.27%,8/14/2012
13-Aug-12,0.9507,0.9471,0.9526,0.9453,0.52%,8/13/2012
10-Aug-12,0.9458,0.945,0.9526,0.9448,0.05%,8/10/2012
9-Aug-12,0.9453,0.9455,0.9475,0.9418,-0.07%,8/9/2012
8-Aug-12,0.946,0.9471,0.9495,0.9445,-0.14%,8/8/2012
7-Aug-12,0.9473,0.9459,0.948,0.9426,0.10%,8/7/2012
6-Aug-12,0.9464,0.9456,0.949,0.9435,0.05%,8/6/2012
3-Aug-12,0.9459,0.9557,0.9572,0.9455,-1.03%,8/3/2012
2-Aug-12,0.9557,0.9557,0.9581,0.9448,-0.03%,8/2/2012
1-Aug-12,0.956,0.953,0.9569,0.948,0.34%,8/1/2012
31-Jul-12,0.9528,0.9523,0.9533,0.9484,0.04%,7/31/2012
30-Jul-12,0.9524,0.9538,0.9568,0.9512,-0.15%,7/30/2012
27-Jul-12,0.9538,0.9619,0.9628,0.953,-0.82%,7/27/2012
26-Jul-12,0.9617,0.9697,0.9715,0.959,-0.82%,7/26/2012
25-Jul-12,0.9697,0.9775,0.9827,0.9669,-0.84%,7/25/2012
24-Jul-12,0.9779,0.9748,0.9789,0.9688,0.33%,7/24/2012
23-Jul-12,0.9747,0.9656,0.9762,0.9642,1.15%,7/23/2012
20-Jul-12,0.9636,0.9591,0.9649,0.9585,0.48%,7/20/2012
19-Jul-12,0.959,0.9645,0.9654,0.957,-0.60%,7/19/2012
18-Jul-12,0.9648,0.9703,0.9719,0.9635,-0.48%,7/18/2012
17-Jul-12,0.9695,0.976,0.9769,0.9686,-0.67%,7/17/2012
16-Jul-12,0.976,0.9756,0.9801,0.9742,-0.15%,7/16/2012
13-Jul-12,0.9775,0.9865,0.9878,0.9769,-0.95%,7/13/2012
12-Jul-12,0.9869,0.9752,0.99,0.9741,1.18%,7/12/2012
11-Jul-12,0.9754,0.9809,0.9823,0.9721,-0.62%,7/11/2012
10-Jul-12,0.9815,0.9794,0.9842,0.9756,0.23%,7/10/2012
9-Jul-12,0.9792,0.981,0.9847,0.9785,0.01%,7/9/2012
6-Jul-12,0.9791,0.9718,0.9822,0.9713,0.76%,7/6/2012
5-Jul-12,0.9717,0.973,0.9762,0.9677,-0.15%,7/5/2012
4-Jul-12,0.9732,0.9725,0.9745,0.9686,0.07%,7/4/2012
3-Jul-12,0.9725,0.9749,0.9774,0.9707,-0.31%,7/3/2012
2-Jul-12,0.9755,0.9743,0.9791,0.9725,-0.11%,7/2/2012
29-Jun-12,0.9766,0.9958,0.998,0.9743,-1.93%,6/29/2012
28-Jun-12,0.9958,0.9915,1.0003,0.9871,0.37%,6/28/2012
27-Jun-12,0.9921,0.9936,0.9959,0.9907,-0.17%,6/27/2012
26-Jun-12,0.9938,0.999,0.9998,0.9912,-0.57%,6/26/2012
25-Jun-12,0.9995,0.9947,1.003,0.9943,0.60%,6/25/2012
22-Jun-12,0.9935,0.9946,0.999,0.9918,-0.22%,6/22/2012
21-Jun-12,0.9957,0.9809,0.9971,0.9809,1.51%,6/21/2012
20-Jun-12,0.9809,0.9824,0.9865,0.9782,-0.15%,6/20/2012
19-Jun-12,0.9824,0.989,0.9896,0.9803,-0.67%,6/19/2012
18-Jun-12,0.989,0.9888,0.9942,0.9862,-0.30%,6/18/2012
15-Jun-12,0.992,0.9988,1.0005,0.9911,-0.68%,6/15/2012
14-Jun-12,0.9988,1.005,1.0078,0.9968,-0.62%,6/14/2012
13-Jun-12,1.005,1.005,1.007,0.9996,0.00%,6/13/2012
12-Jun-12,1.005,1.0124,1.0134,1.003,-0.73%,6/12/2012
11-Jun-12,1.0124,1.0016,1.0151,1.0006,0.39%,6/11/2012
8-Jun-12,1.0085,1.0091,1.018,1.0063,-0.06%,6/8/2012
7-Jun-12,1.0091,1.0094,1.0112,0.9998,-0.03%,6/7/2012
6-Jun-12,1.0094,1.0232,1.0241,1.0068,-1.35%,6/6/2012
5-Jun-12,1.0232,1.0257,1.0296,1.0201,-0.24%,6/5/2012
4-Jun-12,1.0257,1.037,1.0386,1.0257,-0.50%,6/4/2012
1-Jun-12,1.0309,1.0289,1.0433,1.0287,0.19%,6/1/2012
31-May-12,1.0289,1.0307,1.0336,1.0235,-0.17%,5/31/2012
30-May-12,1.0307,1.0176,1.0312,1.0171,1.29%,5/30/2012
29-May-12,1.0176,1.0185,1.0203,1.0104,-0.09%,5/29/2012
28-May-12,1.0185,1.0185,1.0191,1.0113,-0.60%,5/28/2012
25-May-12,1.0246,1.0242,1.028,1.0205,0.04%,5/25/2012
24-May-12,1.0242,1.0277,1.0294,1.0191,-0.34%,5/24/2012
23-May-12,1.0277,1.0236,1.0318,1.0226,0.40%,5/23/2012
22-May-12,1.0236,1.0086,1.0244,1.0065,1.49%,5/22/2012
21-May-12,1.0086,1.0164,1.0188,1.0083,-0.72%,5/21/2012
18-May-12,1.0159,1.0106,1.0207,1.0106,0.52%,5/18/2012
17-May-12,1.0106,1.0071,1.0117,1.0036,0.35%,5/17/2012
16-May-12,1.0071,1.0056,1.013,1.0033,0.15%,5/16/2012
15-May-12,1.0056,1.0028,1.0078,0.9984,0.28%,5/15/2012
14-May-12,1.0028,0.9977,1.0043,0.9965,0.49%,5/14/2012
11-May-12,0.9979,0.9942,0.9982,0.9918,0.37%,5/11/2012
10-May-12,0.9942,0.9947,0.9952,0.9859,-0.05%,5/10/2012
9-May-12,0.9947,0.99,0.9979,0.9886,0.47%,5/9/2012
8-May-12,0.99,0.9789,0.9912,0.9788,1.13%,5/8/2012
7-May-12,0.9789,0.9879,0.9891,0.9784,-0.43%,5/7/2012
4-May-12,0.9831,0.974,0.9832,0.9729,0.93%,5/4/2012
3-May-12,0.974,0.9702,0.9766,0.9695,0.39%,5/3/2012
2-May-12,0.9702,0.9675,0.9723,0.9657,0.28%,5/2/2012
1-May-12,0.9675,0.9595,0.9704,0.9589,0.83%,5/1/2012
30-Apr-12,0.9595,0.9564,0.9609,0.9559,0.47%,4/30/2012
27-Apr-12,0.955,0.9647,0.9658,0.9547,-1.01%,4/27/2012
26-Apr-12,0.9647,0.9656,0.9661,0.9616,-0.09%,4/26/2012
25-Apr-12,0.9656,0.9676,0.9703,0.9639,-0.21%,4/25/2012
24-Apr-12,0.9676,0.9702,0.9758,0.9674,-0.27%,4/24/2012
23-Apr-12,0.9702,0.9633,0.9735,0.9631,0.72%,4/23/2012
20-Apr-12,0.9633,0.9667,0.97,0.963,-0.35%,4/20/2012
19-Apr-12,0.9667,0.9642,0.9696,0.9626,0.26%,4/19/2012
18-Apr-12,0.9642,0.9609,0.9669,0.9601,0.34%,4/18/2012
17-Apr-12,0.9609,0.966,0.9704,0.9598,-0.53%,4/17/2012
16-Apr-12,0.966,0.9671,0.9698,0.9634,0.13%,4/16/2012
13-Apr-12,0.9647,0.9581,0.9655,0.9568,0.69%,4/13/2012
12-Apr-12,0.9581,0.9691,0.9702,0.957,-1.14%,4/12/2012
11-Apr-12,0.9691,0.9773,0.9779,0.9679,-0.84%,4/11/2012
10-Apr-12,0.9773,0.9701,0.9777,0.9656,0.74%,4/10/2012
9-Apr-12,0.9701,0.9719,0.9749,0.9678,0.02%,4/9/2012
6-Apr-12,0.9699,0.9715,0.9732,0.9681,-0.16%,4/6/2012
5-Apr-12,0.9715,0.9728,0.9753,0.9688,-0.13%,4/5/2012
4-Apr-12,0.9728,0.9702,0.9761,0.9698,0.27%,4/4/2012
3-Apr-12,0.9702,0.9589,0.9707,0.9557,1.18%,4/3/2012
2-Apr-12,0.9589,0.9592,0.9646,0.9574,-0.73%,4/2/2012
30-Mar-12,0.966,0.964,0.9663,0.9601,0.21%,3/30/2012
29-Mar-12,0.964,0.9624,0.9704,0.9619,0.17%,3/29/2012
28-Mar-12,0.9624,0.9577,0.9656,0.9573,0.49%,3/28/2012
27-Mar-12,0.9577,0.95,0.9577,0.9472,0.81%,3/27/2012
26-Mar-12,0.95,0.9535,0.9589,0.9483,-0.54%,3/26/2012
23-Mar-12,0.9552,0.9614,0.9638,0.954,-0.64%,3/23/2012
22-Mar-12,0.9614,0.9562,0.9671,0.9539,0.54%,3/22/2012
21-Mar-12,0.9562,0.9539,0.9595,0.9499,0.24%,3/21/2012
20-Mar-12,0.9539,0.9435,0.9562,0.9412,1.10%,3/20/2012
19-Mar-12,0.9435,0.9433,0.9471,0.9402,-0.08%,3/19/2012
16-Mar-12,0.9443,0.9507,0.9514,0.9437,-0.67%,3/16/2012
15-Mar-12,0.9507,0.958,0.9594,0.9475,-0.76%,3/15/2012
14-Mar-12,0.958,0.9485,0.9589,0.9479,1.00%,3/14/2012
13-Mar-12,0.9485,0.9494,0.9536,0.9469,-0.09%,3/13/2012
12-Mar-12,0.9494,0.9468,0.9547,0.9466,0.41%,3/12/2012
9-Mar-12,0.9455,0.9396,0.9465,0.9378,0.63%,3/9/2012
8-Mar-12,0.9396,0.9463,0.9489,0.9372,-0.71%,3/8/2012
7-Mar-12,0.9463,0.9466,0.9513,0.944,-0.03%,3/7/2012
6-Mar-12,0.9466,0.9367,0.9501,0.9354,1.06%,3/6/2012
5-Mar-12,0.9367,0.9326,0.9384,0.9311,0.53%,3/5/2012
2-Mar-12,0.9318,0.9254,0.9321,0.9245,0.69%,3/2/2012
1-Mar-12,0.9254,0.9311,0.9323,0.9244,-0.61%,3/1/2012
29-Feb-12,0.9311,0.9261,0.9332,0.9212,0.54%,2/29/2012
28-Feb-12,0.9261,0.9296,0.9319,0.9261,-0.38%,2/28/2012
27-Feb-12,0.9296,0.9351,0.9388,0.9273,-0.58%,2/27/2012
24-Feb-12,0.935,0.9323,0.9356,0.9298,0.29%,2/24/2012
23-Feb-12,0.9323,0.9412,0.943,0.9314,-0.95%,2/23/2012
22-Feb-12,0.9412,0.9373,0.9429,0.9359,0.42%,2/22/2012
21-Feb-12,0.9373,0.9328,0.9394,0.9302,0.48%,2/21/2012
20-Feb-12,0.9328,0.9258,0.9332,0.9258,-0.19%,2/20/2012
17-Feb-12,0.9346,0.9303,0.9356,0.9261,0.46%,2/17/2012
16-Feb-12,0.9303,0.9358,0.9393,0.9282,-0.59%,2/16/2012
15-Feb-12,0.9358,0.9344,0.9373,0.9279,0.15%,2/15/2012
14-Feb-12,0.9344,0.9343,0.9406,0.9318,0.01%,2/14/2012
13-Feb-12,0.9343,0.9339,0.9357,0.9279,-0.27%,2/13/2012
10-Feb-12,0.9368,0.9287,0.9397,0.9281,0.87%,2/10/2012
9-Feb-12,0.9287,0.9271,0.931,0.9238,0.17%,2/9/2012
8-Feb-12,0.9271,0.9262,0.9286,0.9222,0.10%,2/8/2012
7-Feb-12,0.9262,0.9328,0.9344,0.924,-0.71%,2/7/2012
6-Feb-12,0.9328,0.9302,0.9359,0.9296,0.46%,2/6/2012
3-Feb-12,0.9285,0.9343,0.937,0.9264,-0.62%,2/3/2012
2-Feb-12,0.9343,0.9331,0.9363,0.9297,0.13%,2/2/2012
1-Feb-12,0.9331,0.9428,0.9461,0.9311,-1.03%,2/1/2012
31-Jan-12,0.9428,0.9448,0.9453,0.9361,-0.21%,1/31/2012
30-Jan-12,0.9448,0.9401,0.9498,0.9401,0.67%,1/30/2012
27-Jan-12,0.9385,0.9422,0.9441,0.9372,-0.39%,1/27/2012
26-Jan-12,0.9422,0.9442,0.9443,0.9357,-0.21%,1/26/2012
25-Jan-12,0.9442,0.9542,0.9574,0.9417,-1.05%,1/25/2012
24-Jan-12,0.9542,0.9499,0.9589,0.9495,0.45%,1/24/2012
23-Jan-12,0.9499,0.9554,0.9561,0.9458,-0.40%,1/23/2012
20-Jan-12,0.9537,0.9602,0.963,0.9534,-0.68%,1/20/2012
19-Jan-12,0.9602,0.9599,0.9641,0.9586,0.03%,1/19/2012
18-Jan-12,0.9599,0.9636,0.9653,0.9581,-0.38%,1/18/2012
17-Jan-12,0.9636,0.9691,0.9691,0.9572,-0.57%,1/17/2012
16-Jan-12,0.9691,0.9727,0.9752,0.9674,0.04%,1/16/2012
13-Jan-12,0.9687,0.9675,0.9772,0.9646,0.12%,1/13/2012
12-Jan-12,0.9675,0.9696,0.9721,0.9636,-0.22%,1/12/2012
11-Jan-12,0.9696,0.9711,0.9742,0.9684,-0.15%,1/11/2012
10-Jan-12,0.9711,0.9756,0.9756,0.9661,-0.46%,1/10/2012
9-Jan-12,0.9756,0.9807,0.9856,0.9751,-0.21%,1/9/2012
6-Jan-12,0.9777,0.9752,0.9801,0.9739,0.26%,1/6/2012
5-Jan-12,0.9752,0.967,0.9771,0.9668,0.85%,1/5/2012
4-Jan-12,0.967,0.9645,0.967,0.9642,0.26%,1/4/2012
3-Jan-12,0.9645,0.9755,0.9756,0.9645,-1.13%,1/3/2012
2-Jan-12,0.9755,0.9798,0.9802,0.9755,-0.49%,1/2/2012
30-Dec-11,0.9803,0.9862,0.9866,0.9803,-0.60%,12/30/2011
29-Dec-11,0.9862,0.9923,0.9926,0.9862,-0.61%,12/29/2011
28-Dec-11,0.9923,0.9856,0.9923,0.9855,0.68%,12/28/2011
27-Dec-11,0.9856,0.9845,0.9856,0.9842,0.11%,12/27/2011
26-Dec-11,0.9845,0.9845,0.9852,0.9832,-0.13%,12/26/2011
23-Dec-11,0.9858,0.9869,0.9869,0.9858,-0.11%,12/23/2011
22-Dec-11,0.9869,0.9928,0.9931,0.9869,-0.59%,12/22/2011
21-Dec-11,0.9928,0.9924,0.9928,0.9923,0.04%,12/21/2011
20-Dec-11,0.9924,1.0085,1.0089,0.9924,-1.60%,12/20/2011
19-Dec-11,1.0085,1.0037,1.0085,1.0035,0.67%,12/19/2011
16-Dec-11,1.0018,1.0061,1.0063,1.0018,-0.43%,12/16/2011
15-Dec-11,1.0061,1.0097,1.0103,1.0061,-0.36%,12/15/2011
14-Dec-11,1.0097,1.0011,1.0097,1.0006,0.86%,12/14/2011
13-Dec-11,1.0011,0.9946,1.0011,0.9887,0.65%,12/13/2011
12-Dec-11,0.9946,0.9799,0.9946,0.9797,1.63%,12/12/2011
9-Dec-11,0.9786,0.9826,0.9828,0.9786,-0.41%,12/9/2011
8-Dec-11,0.9826,0.973,0.9826,0.9722,0.99%,12/8/2011
7-Dec-11,0.973,0.9758,0.9758,0.973,-0.29%,12/7/2011
6-Dec-11,0.9758,0.975,0.9758,0.9749,0.08%,12/6/2011
5-Dec-11,0.975,0.9766,0.9769,0.975,-0.41%,12/5/2011
2-Dec-11,0.979,0.9783,0.979,0.9782,0.07%,12/2/2011
1-Dec-11,0.9783,0.9753,0.9783,0.9751,0.31%,12/1/2011
30-Nov-11,0.9753,0.9986,1.0002,0.9753,-2.33%,11/30/2011
29-Nov-11,0.9986,1.0092,1.0093,0.9986,-1.05%,11/29/2011
28-Nov-11,1.0092,1.0177,1.0179,1.0092,-2.02%,11/28/2011
25-Nov-11,1.03,1.0305,1.0307,1.03,-0.05%,11/25/2011
24-Nov-11,1.0305,1.0309,1.0312,1.0305,-0.04%,11/24/2011
23-Nov-11,1.0309,1.0152,1.0309,1.015,1.55%,11/23/2011
22-Nov-11,1.0152,1.0152,1.0152,1.0151,0.00%,11/22/2011
21-Nov-11,1.0152,1.0009,1.0152,1.0003,1.60%,11/21/2011
18-Nov-11,0.9992,1.0012,1.0019,0.9992,-0.20%,11/18/2011
17-Nov-11,1.0012,0.9947,1.0012,0.9947,0.65%,11/17/2011
16-Nov-11,0.9947,0.9858,0.9947,0.9858,0.90%,11/16/2011
15-Nov-11,0.9858,0.9801,0.9858,0.9798,0.58%,11/15/2011
14-Nov-11,0.9801,0.968,0.9801,0.9677,0.79%,11/14/2011
11-Nov-11,0.9724,0.9852,0.9853,0.9724,-1.30%,11/11/2011
10-Nov-11,0.9852,0.9865,0.9911,0.9852,-0.13%,11/10/2011
9-Nov-11,0.9865,0.9635,0.9865,0.9635,2.39%,11/9/2011
8-Nov-11,0.9635,0.9653,0.9661,0.9635,-0.19%,11/8/2011
7-Nov-11,0.9653,0.9616,0.9653,0.9612,0.10%,11/7/2011
4-Nov-11,0.9643,0.9597,0.9643,0.9597,0.48%,11/4/2011
3-Nov-11,0.9597,0.9752,0.9761,0.9597,-1.59%,11/3/2011
2-Nov-11,0.9752,0.9706,0.9752,0.9669,0.47%,11/2/2011
1-Nov-11,0.9706,0.9483,0.9706,0.9483,2.35%,11/1/2011
31-Oct-11,0.9483,0.9374,0.9483,0.9351,1.60%,10/31/2011
28-Oct-11,0.9334,0.9334,0.9334,0.9333,0.00%,10/28/2011
27-Oct-11,0.9334,0.961,0.9623,0.9334,-2.87%,10/27/2011
26-Oct-11,0.961,0.9596,0.961,0.9594,0.15%,10/26/2011
25-Oct-11,0.9596,0.9564,0.9596,0.956,0.33%,10/25/2011
24-Oct-11,0.9564,0.9678,0.9679,0.9564,-1.06%,10/24/2011
21-Oct-11,0.9666,0.9767,0.977,0.9666,-1.03%,10/21/2011
20-Oct-11,0.9767,0.9758,0.9767,0.9755,0.09%,10/20/2011
19-Oct-11,0.9758,0.9762,0.9763,0.9758,-0.04%,10/19/2011
18-Oct-11,0.9762,0.9827,0.9831,0.9762,-0.66%,10/18/2011
17-Oct-11,0.9827,0.9697,0.9827,0.9693,1.60%,10/17/2011
14-Oct-11,0.9672,0.9829,0.9835,0.9672,-1.60%,10/14/2011
13-Oct-11,0.9829,0.9858,0.9861,0.9829,-0.29%,10/13/2011
12-Oct-11,0.9858,1.0062,1.0063,0.9858,-2.03%,10/12/2011
11-Oct-11,1.0062,1.0032,1.0062,1.0028,0.30%,10/11/2011
10-Oct-11,1.0032,1.022,1.0221,1.0032,-2.00%,10/10/2011
7-Oct-11,1.0237,1.0257,1.0259,1.0237,-0.19%,10/7/2011
6-Oct-11,1.0257,1.0379,1.0381,1.0257,-1.18%,10/6/2011
5-Oct-11,1.0379,1.0479,1.048,1.0379,-0.95%,10/5/2011
4-Oct-11,1.0479,1.0506,1.0507,1.0479,-0.26%,10/4/2011
3-Oct-11,1.0506,1.0334,1.0506,1.0333,1.50%,10/3/2011
30-Sep-11,1.0351,1.0227,1.0351,1.0223,1.21%,9/30/2011
29-Sep-11,1.0227,1.0292,1.0295,1.0227,-0.63%,9/29/2011
28-Sep-11,1.0292,1.0097,1.0292,1.0096,1.93%,9/28/2011
27-Sep-11,1.0097,1.0205,1.0207,1.0097,-1.06%,9/27/2011
26-Sep-11,1.0205,1.0179,1.0205,1.0177,-0.15%,9/26/2011
23-Sep-11,1.022,1.0194,1.022,1.0193,0.26%,9/23/2011
22-Sep-11,1.0194,0.9953,1.0194,0.9945,2.42%,9/22/2011
21-Sep-11,0.9953,0.9748,0.9953,0.9746,2.10%,9/21/2011
20-Sep-11,0.9748,0.9819,0.982,0.9748,-0.72%,9/20/2011
19-Sep-11,0.9819,0.9715,0.9819,0.9714,1.74%,9/19/2011
16-Sep-11,0.9651,0.9676,0.9676,0.9651,-0.26%,9/16/2011
15-Sep-11,0.9676,0.9739,0.9766,0.9676,-0.65%,9/15/2011
14-Sep-11,0.9739,0.9691,0.9739,0.9687,0.50%,9/14/2011
13-Sep-11,0.9691,0.9679,0.9691,0.9678,0.12%,9/13/2011
12-Sep-11,0.9679,0.9617,0.9679,0.9611,1.40%,9/12/2011
9-Sep-11,0.9545,0.9449,0.9545,0.9424,1.02%,9/9/2011
8-Sep-11,0.9449,0.9394,0.9449,0.9393,0.59%,9/8/2011
7-Sep-11,0.9394,0.9501,0.9501,0.9394,-1.13%,9/7/2011
6-Sep-11,0.9501,0.9508,0.9509,0.9501,-0.07%,9/6/2011
5-Sep-11,0.9508,0.9434,0.9508,0.943,1.17%,9/5/2011
2-Sep-11,0.9398,0.9328,0.9398,0.9327,0.75%,9/2/2011
1-Sep-11,0.9328,0.9363,0.9373,0.9328,-0.37%,9/1/2011
31-Aug-11,0.9363,0.9363,0.9363,0.9352,0.00%,8/31/2011
30-Aug-11,0.9363,0.9367,0.9367,0.9363,-0.04%,8/30/2011
29-Aug-11,0.9367,0.9462,0.9462,0.9367,-0.93%,8/29/2011
26-Aug-11,0.9455,0.9554,0.9557,0.9455,-1.04%,8/26/2011
25-Aug-11,0.9554,0.9558,0.9561,0.9554,-0.04%,8/25/2011
24-Aug-11,0.9558,0.951,0.9558,0.9508,0.50%,8/24/2011
23-Aug-11,0.951,0.9623,0.9623,0.951,-1.17%,8/23/2011
22-Aug-11,0.9623,0.963,0.963,0.9623,0.11%,8/22/2011
19-Aug-11,0.9612,0.9683,0.9685,0.9612,-0.73%,8/19/2011
18-Aug-11,0.9683,0.9475,0.9683,0.9473,2.20%,8/18/2011
17-Aug-11,0.9475,0.9548,0.955,0.9475,-0.76%,8/17/2011
16-Aug-11,0.9548,0.954,0.9596,0.9536,0.08%,8/16/2011
15-Aug-11,0.954,0.9609,0.9613,0.9514,-1.24%,8/15/2011
12-Aug-11,0.966,0.9676,0.9679,0.966,-0.17%,8/12/2011
11-Aug-11,0.9676,0.9853,0.9883,0.9676,-1.80%,8/11/2011
10-Aug-11,0.9853,0.9674,0.9853,0.9674,1.85%,8/10/2011
9-Aug-11,0.9674,0.9854,0.9857,0.9674,-1.83%,8/9/2011
8-Aug-11,0.9854,0.9623,0.9854,0.9622,3.13%,8/8/2011
5-Aug-11,0.9555,0.9571,0.9576,0.9555,-0.17%,8/5/2011
4-Aug-11,0.9571,0.9298,0.9571,0.9289,2.94%,8/4/2011
3-Aug-11,0.9298,0.9308,0.9309,0.9298,-0.11%,8/3/2011
2-Aug-11,0.9308,0.9098,0.9308,0.9096,2.31%,8/2/2011
1-Aug-11,0.9098,0.908,0.9098,0.9075,-0.03%,8/1/2011
29-Jul-11,0.9101,0.9096,0.9101,0.9094,0.05%,7/29/2011
28-Jul-11,0.9096,0.9066,0.9096,0.9065,0.33%,7/28/2011
27-Jul-11,0.9066,0.9132,0.9133,0.9066,-0.72%,7/27/2011
26-Jul-11,0.9132,0.9223,0.9227,0.9132,-0.99%,7/26/2011
25-Jul-11,0.9223,0.9242,0.9243,0.9223,0.13%,7/25/2011
22-Jul-11,0.9211,0.9225,0.9225,0.9211,-0.15%,7/22/2011
21-Jul-11,0.9225,0.9292,0.9293,0.9225,-0.72%,7/21/2011
20-Jul-11,0.9292,0.9315,0.9316,0.9292,-0.25%,7/20/2011
19-Jul-11,0.9315,0.9403,0.9403,0.9315,-0.94%,7/19/2011
18-Jul-11,0.9403,0.9395,0.9403,0.9395,0.12%,7/18/2011
15-Jul-11,0.9392,0.9317,0.9392,0.9316,0.80%,7/15/2011
14-Jul-11,0.9317,0.9276,0.9317,0.9273,0.44%,7/14/2011
13-Jul-11,0.9276,0.9419,0.9419,0.9276,-1.52%,7/13/2011
12-Jul-11,0.9419,0.9397,0.9419,0.9397,0.23%,7/12/2011
11-Jul-11,0.9397,0.933,0.9397,0.933,1.03%,7/11/2011
8-Jul-11,0.9301,0.9284,0.9301,0.9281,0.18%,7/8/2011
7-Jul-11,0.9284,0.9339,0.935,0.9284,-0.59%,7/7/2011
6-Jul-11,0.9339,0.9353,0.9353,0.9339,-0.15%,7/6/2011
5-Jul-11,0.9353,0.931,0.9353,0.9309,0.46%,7/5/2011
4-Jul-11,0.931,0.9277,0.931,0.9276,0.29%,7/4/2011
1-Jul-11,0.9283,0.9348,0.9353,0.9283,-0.70%,7/1/2011
30-Jun-11,0.9348,0.9355,0.9356,0.9348,-0.07%,6/30/2011
29-Jun-11,0.9355,0.9482,0.9482,0.9355,-1.34%,6/29/2011
28-Jun-11,0.9482,0.9557,0.956,0.9482,-0.78%,6/28/2011
27-Jun-11,0.9557,0.955,0.9557,0.955,0.23%,6/27/2011
24-Jun-11,0.9535,0.9489,0.9535,0.9487,0.48%,6/24/2011
23-Jun-11,0.9489,0.9472,0.9505,0.9471,0.18%,6/23/2011
22-Jun-11,0.9472,0.944,0.9472,0.9436,0.34%,6/22/2011
21-Jun-11,0.944,0.943,0.944,0.9429,0.11%,6/21/2011
20-Jun-11,0.943,0.944,0.9442,0.943,0.17%,6/20/2011
17-Jun-11,0.9414,0.9465,0.9469,0.9414,-0.54%,6/17/2011
16-Jun-11,0.9465,0.9445,0.9465,0.9444,0.21%,6/16/2011
15-Jun-11,0.9445,0.9363,0.9445,0.9361,0.88%,6/15/2011
14-Jun-11,0.9363,0.9422,0.9429,0.9363,-0.63%,6/14/2011
13-Jun-11,0.9422,0.949,0.9491,0.9422,-0.64%,6/13/2011
10-Jun-11,0.9483,0.9404,0.9483,0.94,0.84%,6/10/2011
9-Jun-11,0.9404,0.9392,0.9404,0.9392,0.13%,6/9/2011
8-Jun-11,0.9392,0.9336,0.9392,0.9335,0.60%,6/8/2011
7-Jun-11,0.9336,0.9318,0.9336,0.9317,0.19%,6/7/2011
6-Jun-11,0.9318,0.9302,0.9318,0.9298,-0.15%,6/6/2011
3-Jun-11,0.9332,0.9361,0.9362,0.9332,-0.31%,6/3/2011
2-Jun-11,0.9361,0.9414,0.9417,0.9361,-0.56%,6/2/2011
1-Jun-11,0.9414,0.9359,0.9414,0.9358,0.59%,6/1/2011
31-May-11,0.9359,0.9328,0.9359,0.9323,0.33%,5/31/2011
30-May-11,0.9328,0.9349,0.935,0.9328,-0.09%,5/30/2011
27-May-11,0.9336,0.9404,0.9406,0.9336,-0.72%,5/27/2011
26-May-11,0.9404,0.9512,0.9513,0.9404,-1.14%,5/26/2011
25-May-11,0.9512,0.9474,0.9512,0.9473,0.40%,5/25/2011
24-May-11,0.9474,0.9533,0.9533,0.9466,-0.62%,5/24/2011
23-May-11,0.9533,0.9404,0.9533,0.9403,1.65%,5/23/2011
20-May-11,0.9378,0.9373,0.9378,0.9372,0.05%,5/20/2011
19-May-11,0.9373,0.9403,0.9406,0.9373,-0.32%,5/19/2011
18-May-11,0.9403,0.9411,0.9411,0.9403,-0.09%,5/18/2011
17-May-11,0.9411,0.9467,0.9468,0.9411,-0.59%,5/17/2011
16-May-11,0.9467,0.9477,0.948,0.9467,0.11%,5/16/2011
13-May-11,0.9457,0.9382,0.9457,0.9382,0.80%,5/13/2011
